strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country,set_divergent,set_1,set_2,set_3,set_4,set_5,set_6,set_7
QG2826,0,QG2823,,,,20180413,QG,,,,-34.4511,116.0328,Urban garden,Flower,flowers,,,,,NA,M. Rockman,M. Rockman,2017-05-23,NA,"Androdioecious Caenorhabditis isolated from rotting flowers collected 5/17/17 from the garden in front of Holy Smoke, Pemberton, Western Australia. Baermann funnel plated 5/23; teeming with hermaphrodite Caenorhabditis. This line was founded by one L4 singled 5/23/17. Same flower sample as QG2825. 34°27'03.98"" S 116°01'57.94"" E, from Google Earth.",Western Australia,Australia,,,,,,,,
QG2827,1,QG2827,,,,20180413,QG,,,,-31.9547,115.8446,Botanical garden zoo,Leaf litter,fig tree litter,,,,,NA,M. Rockman,M. Rockman,2017-05-24,NA,"Androdioecious Caenorhabditis isolated from a ziplock of soil, figs, nuts, and litter collected under the sprawling fig tree at the entrance to Kings Park, Perth, Western Australia, 5/20/2017. Baermann funnel plated 5/24/17, yielding thousands of worms, including huge numbers of male and hermaphrodite Caenorhabditis. This plate was founded by one adult hermaphrodite singled 5/24. Its progeny were all hermaphrodites. Same funnel as QG2828 and QG2829. 31°57'17"" S 115°50'40.5"" E by Google Earth.",Western Australia,Australia,,,,,,,,TRUE
QG2828,1,QG2828,,,,20180413,QG,,,,-31.9547,115.8446,Botanical garden zoo,Leaf litter,fig tree litter,,,,,NA,M. Rockman,M. Rockman,2017-05-24,NA,"Androdioecious Caenorhabditis isolated from a ziplock of soil, figs, nuts, and litter collected under the sprawling fig tree at the entrance to Kings Park, Perth, Western Australia, 5/20/2017. Baermann funnel plated 5/24/17, yielding thousands of worms, including huge numbers of male and hermaphrodite Caenorhabditis. This plate was founded by one adult hermaphrodite and one adult male 5/24. Singled herm progeny showed that the isolate is androdioecious. Same funnel as QG2827 and QG2829. 31°57'17"" S 115°50'40.5"" E by Google Earth.",Western Australia,Australia,,,,,,,,TRUE
QG2829,0,QG2827,,,,20180413,QG,,,,-31.9547,115.8446,Botanical garden zoo,Leaf litter,fig tree litter,,,,,NA,M. Rockman,M. Rockman,2017-05-24,NA,"Androdioecious Caenorhabditis isolated from a ziplock of soil, figs, nuts, and litter collected under the sprawling fig tree at the entrance to Kings Park, Perth, Western Australia, 5/20/2017. Baermann funnel plated 5/24/17, yielding thousands of worms, including huge numbers of male and hermaphrodite Caenorhabditis. This plate was founded by one adult hermaphrodite singled 5/24. Its progeny included males and hermaphrodites. Singled progeny showed that the isolate is androdioecious. Same funnel as QG2828 and QG2827. 31°57'17"" S 115°50'40.5"" E by Google Earth.",Western Australia,Australia,,,,,,,,
QG2830,0,QG2832,,,,20180413,QG,,,,-27.3311,152.7636,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-05-31,NA,"Androdioecious Caenorhabditis isolated from bag of figs and litter collected along the Rainforest Circuit, D'Aguilar NP, Queensland, 5/28/17. Baermann funnel plated 5/30/17; tons of Caeno hermaphrodites. This line was founded by one L4, 5/31/17. Same funnel as QG2831. Approx 27°19'52""S, 152°45'49""E, by Google Earth.",Queensland,Australia,,,,,,,,
QG2831,0,QG2832,,,,20180413,QG,,,,-27.3311,152.7636,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-05-31,NA,"Androdioecious Caenorhabditis isolated from bag of figs and litter collected along the Rainforest Circuit, D'Aguilar NP, Queensland, 5/28/17. Baermann funnel plated 5/30/17; tons of Caeno hermaphrodites. This line was founded by one L4, 5/31/17. Same funnel as QG2830. Approx 27°19'52""S, 152°45'49""E, by Google Earth.",Queensland,Australia,,,,,,,,
QG2832,1,QG2832,,,,20180413,QG,,,,-27.3311,152.7636,Forest,Fungus,mushroom,,,,,NA,M. Rockman,M. Rockman,2017-05-30,NA,"Androdioecious Caenorhabditis isolated from mushroom rot (photographed) along the Rainforest Circuit, D'Aguilar NP, Queensland, 5/28/17. Baermann funnel plated 5/30/17; few worms, mostly not Caeno. This line was founded by one YA hermaphrodite, 5/30/17. Same funnel as QG2833. Very approx 27°19'52""S, 152°45'49""E, by Google Earth.",Queensland,Australia,,,,,,,TRUE,
QG2833,0,QG2832,,,,20180413,QG,,,,-27.3311,152.7636,Forest,Fungus,mushroom,,,,,NA,M. Rockman,M. Rockman,2017-05-30,NA,"Androdioecious Caenorhabditis isolated from mushroom rot (photographed) along the Rainforest Circuit, D'Aguilar NP, Queensland, 5/28/17. Baermann funnel plated 5/30/17; few worms, mostly not Caeno. This line was founded by one YA hermaphrodite, 5/30/17. Same funnel as QG2832. Very approx 27°19'52""S, 152°45'49""E, by Google Earth.",Queensland,Australia,,,,,,,,
QG2834,0,QG2835,,,,20180413,QG,,,,-27.3308,152.7592,Forest,Fruit,berries,,,,,NA,M. Rockman,M. Rockman,2017-05-30,NA,"Androdioecious Caenorhabditis isolated from a bag of purple berries, mostly dried, collected along the Westside Track, D'Aguilar NP, Queensland, 5/28/17; this sample of berries is from a spot a few hundred feed along the track from the bag that yielded QG2836-7. Baermann funnel plated 5/30; lots of Caeno hermaphrodites. This line was founded by one L4 singled 5/30/17. Same funnel as QG2835. Very approx 27°19'51""S 152°45'33""E by Google Earth.",Queensland,Australia,,,,,,,,
QG2835,1,QG2835,,,,20180413,QG,,,,-27.3308,152.7592,Forest,Fruit,berries,,,,,NA,M. Rockman,M. Rockman,2017-05-30,NA,"Androdioecious Caenorhabditis isolated from a bag of purple berries, mostly dried, collected along the Westside Track, D'Aguilar NP, Queensland, 5/28/17; this sample of berries is from a spot a few hundred feed along the track from the bag that yielded QG2836-7. Baermann funnel plated 5/30; lots of Caeno hermaphrodites. This line was founded by one L4 singled 5/30/17. Same funnel as QG2834. Very approx 27°19'51""S 152°45'33""E by Google Earth.",Queensland,Australia,,,,,,,,TRUE
QG2836,1,QG2836,,,,20180413,QG,,,,-27.3308,152.7592,Forest,Fruit,berries,,,,,NA,M. Rockman,M. Rockman,2017-06-01,NA,"Androdioecious Caenorhabditis isolated from a bag of purple berries, mostly dried, collected along the Westside Track, D'Aguilar NP, Queensland, 5/28/17; this sample of berries is from a spot a few hundred feed along the track from the bag that yielded QG2834-5. Baermann funnel plated 5/31. This line was founded by one YA singled 6/1/17. Same funnel as QG2837. Very approx 27°19'51""S 152°45'33""E by Google Earth.",Queensland,Australia,,,,,,,TRUE,
QG2837,1,QG2837,,,,20180413,QG,,,,-27.3308,152.7592,Forest,Fruit,berries,,,,,NA,M. Rockman,M. Rockman,2017-06-02,NA,"Androdioecious Caenorhabditis isolated from a bag of purple berries, mostly dried, collected along the Westside Track, D'Aguilar NP, Queensland, 5/28/17; this sample of berries is from a spot a few hundred feed along the track from the bag that yielded QG2834-5. Baermann funnel plated 5/30. This line was founded by one L4 singled 6/2/17. Same funnel as QG2836. Very approx 27°19'51""S 152°45'33""E by Google Earth.",Queensland,Australia,,,,,,,TRUE,
QG2838,1,QG2838,,,,20180413,QG,,,,-27.3311,152.7636,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-02,NA,"Androdioecious Caenorhabditis isolated from a bunch of rotting figs collected along the Rainforest Circuit, D'Aguilar NP, Queensland, 5/28/17. Baermann funnel plated 5/31/17; lots of worms, but only a single Caenorhabditis. This line was founded by that one YA hermaphrodite, 6/2/17. Very approx 27°19'52""S, 152°45'49""E, by Google Earth.",Queensland,Australia,,,,,,,,TRUE
QG2839,0,QG2841,,,,20180413,QG,,,,-28.2446,153.2089,Forest,Leaf litter,litter,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from litter under shrubs with red fruits, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; diverse worms, including exactly two Caenorhabditis adults. One of them picked 6/6 to found this line. The other founded QG2840. By garmin GPS, 28°14.675' S, 153°12.533' E.",Queensland,Australia,,,,,,,,
QG2840,0,QG2841,,,,20180413,QG,,,,-28.2446,153.2089,Forest,Leaf litter,litter,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from litter under shrubs with red fruits, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; diverse worms, including exactly two Caenorhabditis adults. One of them picked 6/6 to found this line. The other founded QG2839. By garmin GPS, 28°14.675' S, 153°12.533' E.",Queensland,Australia,,,,,,,,
QG2841,1,QG2841,,,,20180413,QG,,,,-28.2446,153.2063,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from sample of litter and small figs, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; diverse worms, lots of Caeno hermaphrodite adults and larvae. One young adult picked 6/6 to found this line. Another founded QG2842. By garmin GPS, 28°14.648' S, 153°12.375' E.",Queensland,Australia,,,,,,,TRUE,
QG2842,0,QG2841,,,,20180413,QG,,,,-28.2446,153.2063,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from sample of litter and small figs, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; diverse worms, lots of Caeno hermaphrodite adults and larvae. One young adult picked 6/6 to found this line. Another founded QG2841. By garmin GPS, 28°14.648' S, 153°12.375' E.",Queensland,Australia,,,,,,,,
QG2843,1,QG2843,,,,20180413,QG,,,,-28.2402,153.195,Forest,Fruit,berries,,,,,NA,M. Rockman,M. Rockman,2017-06-09,NA,"Androdioecious Caenorhabditis isolated from sample of dried berries, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/7/17; very few worms. Just one Caeno adult found, picked 6/9 to found this line. By garmin GPS, 28°14.412' S, 153°11.699' E.",Queensland,Australia,,,,,,,TRUE,
QG2844,0,QG2846,,,,20180413,QG,,,,-28.2043,153.1907,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from sample of dried figs, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; lots of Caeno hermaphrodite adults and larvae; later, males present. One adult picked 6/6 to found this line. Others founded QG2845-7. By garmin GPS, 28°12.260' S, 153°11.439' E.",Queensland,Australia,,,,,,,,
QG2845,0,QG2846,,,,20180413,QG,,,,-28.2043,153.1907,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from sample of dried figs, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; lots of Caeno hermaphrodite adults and larvae; later, males present. One adult picked 6/6 to found this line. Others founded QG2844, QG2846-7. By garmin GPS, 28°12.260' S, 153°11.439' E.",Queensland,Australia,,,,,,,,
QG2846,1,QG2846,,,,20180413,QG,,,,-28.2043,153.1907,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-06,NA,"Androdioecious Caenorhabditis isolated from sample of dried figs, Lamington NP, Queensland, 6/4/17. Baermann funnel plated 6/6/17; lots of Caeno hermaphrodite adults and larvae; later, males present. One adult picked 6/6 to found this line. Others founded QG2844-45, QG2847. By garmin GPS, 28°12.260' S, 153°11.439' E.",Queensland,Australia,,,,,,,TRUE,
QG2850,1,QG2850,,,,20180413,QG,,,,-28.0845,152.5074,Forest,Leaf litter,litter,,,,,NA,M. Rockman,M. Rockman,2017-06-22,NA,"Androdioecious Caenorhabditis isolated from a sample of soil & leaf litter at Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/22, yielding lots of Caeno hermaphrodites. This line founded by one L3. Same sample (144) as QG2851. Garmin GPS 28°05.070'S, 152°30.446'E.",Queensland,Australia,,,,,,,,TRUE
QG2851,0,QG2850,,,,20180413,QG,,,,-28.0845,152.5074,Forest,Leaf litter,litter,,,,,NA,M. Rockman,M. Rockman,2017-06-22,NA,"Androdioecious Caenorhabditis isolated from a sample of soil & leaf litter at Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/22, yielding lots of Caeno hermaphrodites. This line founded by one adult. Same sample (144) as QG2850. Garmin GPS 28°05.070'S, 152°30.446'E.",Queensland,Australia,,,,,,,,
QG2852,0,QG2854,,,,20180413,QG,,,,-28.0826,152.5066,Forest,Leaf litter,litter,,,,,NA,M. Rockman,M. Rockman,2017-06-25,NA,"Androdioecious Caenorhabditis isolated from a sample of soil & leaf litter at Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/20, yielding lots of Oscheius. A few Caeno detected later, 6/25. This line founded by one L4. Same sample (147) as QG2853. Garmin GPS 28°04.958'S, 152°30.394'E.",Queensland,Australia,,,,,,,,
QG2853,0,QG2854,,,,20180413,QG,,,,-28.0826,152.5066,Forest,Leaf litter,litter,,,,,NA,M. Rockman,M. Rockman,2017-06-25,NA,"Androdioecious Caenorhabditis isolated from a sample of soil & leaf litter at Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/20, yielding lots of Oscheius. A few Caeno detected later, 6/25. This line founded by one adult. Same sample (147) as QG2852. Garmin GPS 28°04.958'S, 152°30.394'E.",Queensland,Australia,,,,,,,,
QG2854,1,QG2854,,,,20180413,QG,,,,-28.0806,152.5046,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-22,NA,"Androdioecious Caenorhabditis isolated from a sample of piccabeen palm nuts, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/22. This line founded by one L3, 6/22. Same sample (150) as QG2855. Garmin GPS 28°04.833'S, 152°30.273'E.",Queensland,Australia,,,,,,,,TRUE
QG2855,1,QG2855,,,,20180413,QG,,,,-28.0806,152.5046,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-22,NA,"Androdioecious Caenorhabditis isolated from a sample of piccabeen palm nuts, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/22. This line founded by one L3, 6/22. Same sample (150) as QG2854. Garmin GPS 28°04.833'S, 152°30.273'E.",Queensland,Australia,,,,,,,TRUE,
QG2856,0,QG2854,,,,20180413,QG,,,,-28.0806,152.5044,Forest,Fruit,unidentified fruit,,,,,NA,M. Rockman,M. Rockman,2017-06-20,NA,"Androdioecious Caenorhabditis isolated from a unfamiliar pod thing, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/19. Very few worms, including two adults. One founded this line, 6/20. Same sample (151) as QG2857. Garmin GPS 28°04.833'S, 152°30.264'E.",Queensland,Australia,,,,,,,,
QG2857,1,QG2857,,,,20180413,QG,,,,-28.0806,152.5044,Forest,Fruit,unidentified fruit,,,,,NA,M. Rockman,M. Rockman,2017-06-20,NA,"Androdioecious Caenorhabditis isolated from a unfamiliar pod thing, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/19. Very few worms, including two adults. One founded this line, 6/20. Same sample (151) as QG2856. Garmin GPS 28°04.833'S, 152°30.264'E.",Queensland,Australia,,,,,,,TRUE,
QG2858,0,QG2854,,,,20180413,QG,,,,-28.0801,152.5041,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-20,NA,"Androdioecious Caenorhabditis isolated from tiny figs and soil under a fig tree, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/19. Mostly Oscheius and Caenorhabditis hermaphrodites. One adult founded this line, 6/20. Same sample (152) as QG2859. Garmin GPS 28°04.808'S, 152°30.244'E.",Queensland,Australia,,,,,,,,
QG2859,0,QG2854,,,,20180413,QG,,,,-28.0801,152.5041,Forest,Fruit,figs,,,,,NA,M. Rockman,M. Rockman,2017-06-20,NA,"Androdioecious Caenorhabditis isolated from tiny figs and soil under a fig tree, Palm Gorge, Mt. Greville, Moogerah Peaks NP, Queensland, 6/18/2017. Funnel plated 6/19. Mostly Oscheius and Caenorhabditis hermaphrodites. One adult founded this line, 6/20. Same sample (152) as QG2858. Garmin GPS 28°04.808'S, 152°30.244'E.",Queensland,Australia,,,,,,,,
QG2872,0,QG2873,,,,20180413,QG,,,,-27.369,152.1831,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-25,NA,"Androdioecious Caenorhabditis isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/26. One young adult founded this line, 6/26. Same sample (159) as QG2873. Garmin GPS 27°22.141 S, 152°10.987' E.",Queensland,Australia,,,,,,,,
QG2873,1,QG2873,,,,20180413,QG,,,,-27.369,152.1831,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-26,NA,"Androdioecious strain isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/26. One young adult founded this line, 6/26. Same sample (159) as QG2872. Garmin GPS 27°22.141 S, 152°10.987' E. These worms are a bit strange looking; possibly sick from plate contaminants.",Queensland,Australia,,,,,,,TRUE,
QG2874,1,QG2874,,,,20180413,QG,,,,-27.3686,152.1838,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-28,NA,"Androdioecious Caenorhabditis isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/26. One :4 founded this line, 6/28. This sample (160) had few worms and this was the only one that looked like Caenorhabditis. The adults are somewhat short. Garmin GPS 27°22.115 S, 152°11.027' E.",Queensland,Australia,,,,,,,,TRUE
QG2875,1,QG2875,,,,20180413,QG,,,,-27.3672,152.1834,Forest,Fruit,berry-like fruit,,,,,NA,M. Rockman,M. Rockman,2017-06-27,NA,"Androdioecious Caenorhabditis isolated from berry-like fruits, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/27. One young adult founded this line, 6/27. Same sample (161) as QG2876. Garmin GPS 27°22.034 S, 152°11.002' E.",Queensland,Australia,,,,,,,,TRUE
QG2876,0,QG2875,,,,20180413,QG,,,,-27.3672,152.1834,Forest,Fruit,berry-like fruit,,,,,NA,M. Rockman,M. Rockman,2017-06-27,NA,"Androdioecious Caenorhabditis isolated from berry-like fruits, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/27. One young adult founded this line, 6/27. Same sample (161) as QG2875. Garmin GPS 27°22.034 S, 152°11.002' E.",Queensland,Australia,,,,,,,,
QG2877,1,QG2877,,,,20180413,QG,,,,-27.367,152.183,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-28,NA,"Androdioecious Caenorhabditis isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/27. One L3 founded this line, 6/28. Same sample (162) as QG2878. Garmin GPS 27°22.017' S, 152°10.979' E.",Queensland,Australia,,,,,,,TRUE,
QG2878,0,QG2877,,,,20180413,QG,,,,-27.367,152.183,Forest,Nut,palm nuts,,,,,NA,M. Rockman,M. Rockman,2017-06-28,NA,"Androdioecious Caenorhabditis isolated from piccabeen palm nuts, collected 6/25/2017 at Ravensbourne NP, Queensland. Funnel plated 6/27. One L4 founded this line, 6/28. Same sample (162) as QG2877. Garmin GPS 27°22.017' S, 152°10.979' E.",Queensland,Australia,,,,,,,,
QG2927,0,QG2932,,,,20180413,QG,,,,-28.0538,152.3952,Forest,Fruit,palmfruit,,,,,NA,M. Rockman,M. Rockman,2017-07-26,NA,"Androdioecious Caenorhabditis isolated from rotting palmfruit collected at Main Range National Park, Mt. Mitchell Trail, Queensland, 7/23/17. Funnel plated 7/24/17. 1000s of worms, mostly not Caeno. This line founded by one adult picked 7/26/17. This sample (199) yielded QG2927-2930. Garmin GPS 28°03.226' S 152°23.714' E.",Queensland,Australia,,,,,,,,
QG2928,0,QG2932,,,,20180413,QG,,,,-28.0538,152.3952,Forest,Fruit,palmfruit,,,,,NA,M. Rockman,M. Rockman,2017-07-26,NA,"Androdioecious Caenorhabditis isolated from rotting palmfruit collected at Main Range National Park, Mt. Mitchell Trail, Queensland, 7/23/17. Funnel plated 7/24/17. 1000s of worms, mostly not Caeno. This line founded by one adult picked 7/26/17. This sample (199) yielded QG2927-2930. Garmin GPS 28°03.226' S 152°23.714' E.",Queensland,Australia,,,,,,,,
QG2931,0,QG2932,,,,20180413,QG,,,,-28.0538,152.3952,Forest,Fruit,palmfruit,,,,,NA,M. Rockman,M. Rockman,2017-07-26,NA,"Androdioecious Caenorhabditis isolated from rotting palmfruit collected at Main Range National Park, Mt. Mitchell Trail, Queensland, 7/23/17. Funnel plated 7/26/17. ~100 worms, mostly Caeno adult hermaphrodites. No Caeno males. This line founded by one adult picked 7/26/17. Same sample (199b) as QG2932. Garmin GPS 28°03.226' S 152°23.714' E.",Queensland,Australia,,,,,,,,
QG2932,1,QG2932,,,,20180413,QG,,,,-28.0538,152.3952,Forest,Fruit,palmfruit,,,,,NA,M. Rockman,M. Rockman,2017-07-26,NA,"Androdioecious Caenorhabditis isolated from rotting palmfruit collected at Main Range National Park, Mt. Mitchell Trail, Queensland, 7/23/17. Funnel plated 7/26/17. ~100 worms, mostly Caeno adult hermaphrodites. No Caeno males. This line founded by one adult picked 7/26/17. Same sample (199b) as QG2931. Garmin GPS 28°03.226' S 152°23.714' E.",Queensland,Australia,,,,,,,,TRUE
QG536,1,QG536,QG536 #2,1,,20160408,QG,,,,37.7679,-122.4415,Urban garden,Fruit,"rotten solanaceous fruit, Buena Vista Park",,,,,NA,NA,M. Rockman,2010-12-30,NA,NA,California,United States,,,,TRUE,,,,
QG537,0,QG536,QG537 #2,1,,20160408,QG,,,,37.7679,-122.4415,Urban garden,Fruit,"rotten solanaceous fruit, Buena Vista Park",,,,,NA,NA,M. Rockman,2010-12-30,NA,NA,California,United States,,,,,,,,
QG538,0,QG536,QG538 #2,1,,20160408,QG,,,,37.7679,-122.4415,Urban garden,Fruit,"rotten solanaceous fruit, Buena Vista Park",,,,,NA,NA,M. Rockman,2010-12-30,NA,NA,California,United States,,,,,,,,
QG556,1,QG556,NA,1,,20160408,QG,,,,34.421629,-119.702021,NA,Rotting fruit,"rotting orange peel, with snails",,,,,NA,NA,A. Paaby,2011-06-27,NA,NA,California,United States,,,,TRUE,,,,
QG557,1,QG557,NA,1,,20160408,QG,,,,34.421629,-119.702021,NA,Rotting fruit,"rotting orange peel, with snails",,,,,NA,NA,A. Paaby,2011-06-27,NA,NA,California,United States,,,TRUE,,,,,
QG558,0,QG556,QG558 #2,1,,20160408,QG,,,,34.421629,-119.702021,NA,Rotting fruit,"rotting orange beneath a non-edible fig tree; orange had large snail and two slugs
",,,,,NA,NA,A. Paaby,2011-06-27,NA,NA,California,United States,,,,,,,,
QW947,1,QW947,NA,1,,20160408,QW,,,,-33.4213,-70.6106,Urban garden,Compost,"compost heap with moist rotting grass (urban park) at Univerisdad Mayor, Camino la Piramide",,,,,NA,M. Alkema,M. Alkema,2013-04-12,NA,NA,Santiago Metropolitan Region,Chile,,,TRUE,,,,,
QX1211,1,QX1211,NA,1,,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,,,,,NA,M. Rockman,M. Rockman,2007-11-26,NA,NA,California,United States,,,,TRUE,,,,
QX1212,1,QX1212,NA,1,,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,,,,,NA,M. Rockman,M. Rockman,2007-11-26,NA,NA,California,United States,,,TRUE,,,,,
QX1213,0,QX1212,NA,1,,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,,,,,NA,M. Rockman,M. Rockman,2007-11-26,NA,NA,California,United States,,,,,,,,
QX1214,0,QX1212,NA,1,,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,,,,,NA,M. Rockman,M. Rockman,2007-11-26,NA,NA,California,United States,,,,,,,,
QX1215,0,QX1211,NA,1,,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,,,,,NA,M. Rockman,M. Rockman,2007-11-26,NA,NA,California,United States,,,,,,,,
QX1216,0,QX1211,NA,1,,20160408,QX,,,,37.7502,-122.4331,Urban garden,Rotting fruit,soil under rotting orange,,,,,NA,M. Rockman,M. Rockman,2007-11-26,NA,NA,California,United States,,,,,,,,
QX1218,0,QX1233,NA,0,,20160408,QX,,,,37.8804,-122.2838, Urban garden,Compost,compost heap,,,,,NA,M. Rockman,M. Rockman,2007-11-24,NA,NA,California,United States,,,,,,,,
QX1233,1,QX1233,NA,1,,20160408,QX,,,,37.8804,-122.2838,Urban garden,Compost,compost heap,,,,,NA,M. Rockman,M. Rockman,2007-11-24,NA,NA,California,United States,,,,TRUE,,,,
ECA760,1,ECA760,,,,20180413,ECA,hawaii_2017,C-2828,S-07315,20.039869,-155.441619,Forest,Leaf litter,,21.2,22.6,67.5,84.2,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg,E. Andersen,D. Cook,2017-08-17,,,Hawaii,United States,,,,,,,TRUE,
ECA768,1,ECA768,,,,20180413,ECA,hawaii_2017,C-2856,S-07368,20.039914,-155.441556,Forest,Leaf litter,,21.9,21.9,69,87.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.jpg,E. Andersen,D. Cook,2017-08-17,,,Hawaii,United States,,,,,,,,TRUE
ECA777,1,ECA777,,,,20180413,ECA,hawaii_2017,C-3155,S-07414,20.039908,-155.441503,Forest,Fruit,"originally listed as ""Fruit/nut/vegetable""",21.5,NA,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.jpg,D. Lee,D. Lee,2017-08-17,,,Hawaii,United States,,,,,,,,TRUE
ECA778,1,ECA778,,,,20180413,ECA,hawaii_2017,C-3155,S-07415,20.039908,-155.441503,Forest,Fruit,"originally listed as ""Fruit/nut/vegetable""",21.5,NA,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3155.jpg,D. Lee,D. Lee,2017-08-17,,,Hawaii,United States,,,,,,,TRUE,
RC301,1,RC301,NA,1,,20160408,CGC,,,,47.99,7.84,Urban garden,Compost,compost heap,,,,,NA,R. Cassada,R. Cassada,1983-01-01,Only year (1983) is known,Reference WBG 9(3) 29 and 10(2) 140-141. npr-1 pka bor-1,Baden-Württemberg,Germany,,,,TRUE,,,,
RW7000,0,CB4851,NA,0,,20160408,CGC,,,,44.85,0.48,Urban garden,Soil,soil,,,,,NA,V. Nigon,V. Nigon,NA,pre-1949,"From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by R. Waterston; RW subclone of Bergerac BO (Tc1 patternHCA)",Dordogne ,France,,,,,,,,
TR388,0,N2,NA,0,N2 clone,20160408,CGC,,,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,
TR389,0,N2,NA,0,N2 clone,20160408,CGC,,,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,CB4856 version of glb-5,,,,,,,,,,
TR403,0,NA,NA,0,recombinant N2xCB4851,20160408,CGC,,,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,
WN2001,1,WN2001,NA,1,,20160408,WN,,,,51.954422,6.303406,NA,Compost,snail from organic waste bin,,,,,NA,NA,J. Riksen,2008-06-26,NA,NA,Gelderland,Netherlands,,,,TRUE,,,,
