N	eigenvalue	difference	twstat	p-value	effect.n
297	0.148659	-0.001934	-2.120	0.758617	52.496
298	0.122798	-0.025862	-3.057	0.937086	49.484
299	0.118688	-0.004110	NA	NA	NA
300	0.109749	-0.008939	NA	NA	NA
301	0.098515	-0.011234	NA	NA	NA
302	0.089960	-0.008554	NA	NA	NA
303	0.080885	-0.009076	NA	NA	NA
304	0.066184	-0.014701	NA	NA	NA
305	0.063290	-0.002894	NA	NA	NA
306	0.012824	-0.050466	NA	NA	NA
307	0.009879	-0.002945	NA	NA	NA
